closure_type,count
D Ring Details,1
"Zipper, Snap Button",1
Dual Snap Button Closure,1
Zip & Flap Closure,1
Spring Clasp,1
Scissor Clasp,1
post back fastening,1
Post-Back Closure,1
Spring Clasp Closure,1
sterling silver clasp,1
Butterfly Closure,1
Heel strap,1
Front Lace Up Closure,1
Adjustable Snapback,1
zip and buckle fastening,1
Dual Buckle Fastening,1
AquaGuard® Waterproof Zip Closure,1
Engraved Horn Buttons,1
Asymmetric Zip Closure,1
adjustable chin strap,1
Tie-up Laces,1
Asymmetric Drawstring Waist,1
Adjustable Metal Buckle,1
adjustable neck,1
removable lid,1
Adjustable chain strap,1
2-Way Zippered Main Compartment,1
top zip fastening,1
laced,1
1/2 Zip Front,1
1/2 zip closure,1
T-Clasp,1
Snapback Enclosure,1
"Adjustable Chin Strap, Adjustable Back Buckle",1
tonal leather laces,1
